Date,Open,High,Low,Close,Volume
20230103 14:00:00 America/New_York,142.64,143.63,141.64,143.11,3419990
20230103 15:00:00 America/New_York,143.12,144.08,142.73,143.15,4546868
20230104 09:30:00 America/New_York,145.66,148.14,144.54,145.38,6505741
20230104 10:00:00 America/New_York,145.23,146.13,142.41,144.06,5899108
20230104 11:00:00 America/New_York,144.05,147.79,143.61,146.69,4483990
20230104 12:00:00 America/New_York,146.7,147.68,146.01,146.49,2984845
20230104 13:00:00 America/New_York,146.49,148.12,146.2,147.49,2940169
20230104 14:00:00 America/New_York,147.53,148.53,145.36,147.7,5383494
20230104 15:00:00 America/New_York,147.71,148.3,145.71,147.55,5725138
20230105 09:30:00 America/New_York,144.91,145.64,142.62,143.24,3878082
20230105 10:00:00 America/New_York,143.22,144.43,141.82,141.94,6217026
20230105 11:00:00 America/New_York,141.93,143.08,141.47,141.99,4216251
20230105 12:00:00 America/New_York,142.01,143.47,141.97,142.57,2938453
20230105 13:00:00 America/New_York,142.56,144.78,142.38,143.59,3780798
20230105 14:00:00 America/New_York,143.58,144.48,143.17,143.83,3031097
20230105 15:00:00 America/New_York,143.84,143.98,142.4,142.66,4500019
20230106 09:30:00 America/New_York,144.61,144.89,140.34,140.94,5336760
20230106 10:00:00 America/New_York,140.99,145.79,140.96,145.39,7178210
20230106 11:00:00 America/New_York,145.41,147.67,144.87,147.03,4498137
20230106 12:00:00 America/New_York,147.05,147.21,146.35,146.62,2734675
20230106 13:00:00 America/New_York,146.63,148.11,146.5,147.96,2566481
20230106 14:00:00 America/New_York,147.99,149.68,147.92,149.43,3331562
20230106 15:00:00 America/New_York,149.43,150.1,148.16,148.59,5403153
20230109 09:30:00 America/New_York,152.84,157.72,151.41,157.14,6767055
20230109 10:00:00 America/New_York,157.14,159.89,157.14,158.93,8249846
20230109 11:00:00 America/New_York,158.94,160.56,158.75,159.85,4895274
20230109 12:00:00 America/New_York,159.85,160.19,159.13,160.06,4086033
20230109 13:00:00 America/New_York,160.06,160.34,157.79,158.44,4277419
20230109 14:00:00 America/New_York,158.42,159.84,157.9,158.11,4527307
20230109 15:00:00 America/New_York,158.13,158.33,155.75,156.38,6398566
20230110 09:30:00 America/New_York,154.93,159.05,154.72,157.15,6038327
20230110 10:00:00 America/New_York,157.1,159.62,155.62,157.71,7129358
20230110 11:00:00 America/New_York,157.69,157.75,156.32,157.09,3372290
20230110 12:00:00 America/New_York,157.1,157.48,156.36,156.74,2222202
